Beta,Reward,Cost
0.0,1.815234134316082,0.99
0.1,1.8008333171699213,0.99
0.2,1.815534492968956,0.99
0.3,1.793435242077682,0.99
0.4,1.7260289813186167,0.76896
0.5,1.359698018006089,0.00365
0.6,1.368497963517903,0.0
0.7,1.366397191732505,0.0
0.8,1.3715981677613405,0.0
0.9,1.3822974912906305,0.0
1.0,1.3836971099759525,0.0
1.1,1.380196823943619,0.0
1.2,1.3867967966947798,0.0
1.3,1.371997613907752,0.0
1.4,1.3819972416231672,0.0
1.5,1.3879970781924869,0.0
1.6,1.3734978363459607,0.0
1.7,1.3762981042296565,0.0
1.8,1.386997736485278,0.0
1.9,1.368897881777847,0.0
2.0,1.3927960930201888,0.0
