Beta,Reward,Cost
0.0,1.7631318597969496,0.68078
0.1,1.7897314194701681,0.49113
0.2,1.797631183369737,0.48932
0.3,1.7834301663999639,0.45092
0.4,1.7885314375376133,0.45099
0.5,1.775229789619919,0.45064
0.6,1.7052213631830122,0.33639
0.7,1.6220117879921085,0.18095
0.8,1.6328103851375764,0.15776
0.9,1.5808092682923347,0.13482
1.0,1.5694087689052705,0.12759
1.1,1.5625080924644577,0.1209
1.2,1.5723079562821778,0.12154
1.3,1.5831078154859348,0.11953
1.4,1.5468091139634914,0.1224
1.5,1.5517086236028232,0.11953
1.6,1.572408423887438,0.12088
1.7,1.367699157559567,0.00993
1.8,1.385698086110477,0.00984
1.9,1.3669993300424048,0.0097
2.0,1.3706984856459585,0.00972
