Beta,Reward,Cost
0.0,1.8034343249999119,0.99
0.1,1.739028940478451,0.99
0.2,1.7278310334170788,0.99
0.3,1.7420292765209762,0.99
0.4,1.7655307247797611,0.75846
0.5,1.7375311060452046,0.70718
0.6,1.7546307337841032,0.69992
0.7,1.7778282323213197,0.70558
0.8,1.7130288223996988,0.602
0.9,1.6663249180494697,0.54042
1.0,1.771530016470988,0.70465
1.1,1.5430144256320106,0.45005
1.2,1.3964099175561477,0.32228
1.3,1.4407076522012445,0.14514
1.4,1.5273187345945773,0.2481
1.5,1.5691085237421438,0.12079
1.6,1.5677082649819174,0.11941
1.7,1.4064989713674703,0.01
1.8,1.4215057045947634,0.06228
1.9,1.3990061949379142,0.06299
2.0,1.3824987080856084,0.00998
